image_name,gender,age_group,emoticon,ornaments,character_name,face_pos_1x,face_pos_1y,face_pos_2x,face_pos_2y
data (1).jpg,1,3,4,5,-1,221,359,513,694
data (2).jpg,1,4,5,5,-1,674,914,1514,1880
data (3).jpg,1,4,5,5,-1,419,608,988,1291
data (4).jpg,1,4,5,5,-1,256,355,547,690
data (5).jpg,1,4,5,5,-1,85,102,196,228
data (6).jpg,1,4,5,5,-1,195,316,522,667
data (7).jpg,1,3,5,5,-1,273,368,711,825
data (8).jpg,1,4,5,1,-1,162,214,418,495
data (9).jpg,1,3,4,5,-1,211,298,549,660
data (10).jpg,1,4,5,5,-1,321,470,758,969
data (11).jpg,1,1,5,5,-1,238,461,778,1070
data (12).jpg,1,3,5,5,-1,249,524,901,1227
data (13).jpg,1,4,5,5,-1,110,124,292,308
data (14).jpg,1,4,5,5,-1,108,190,297,414
data (15).jpg,1,4,5,5,-1,353,390,879,1000
data (16).jpg,1,4,5,5,-1,425,609,1359,1687
data (17).jpg,1,4,4,5,-1,152,224,361,437
data (18).jpg,1,3,5,5,-1,166,300,533,721
data (19).jpg,1,3,5,1,-1,162,183,423,483
data (20).jpg,1,3,5,1,-1,472,666,1200,1522
data (21).jpg,1,4,3,5,-1,151,246,367,515
data (23).jpg,1,3,5,5,-1,472,641,1225,1622
data (24).jpg,1,3,5,5,-1,158,237,445,548
data (25).jpg,1,4,4,5,-1,413,275,653,584
data (26).jpg,1,4,5,5,-1,138,213,395,523
data (27).jpg,1,4,5,5,-1,214,342,724,939
data (28).jpg,1,4,5,5,-1,292,372,761,979
data (31).jpg,1,3,4,5,-1,298,396,768,949
data (33).jpg,1,3,5,5,-1,239,435,586,771
data (34).jpg,1,3,5,5,-1,173,335,506,740
data (35).jpg,1,3,5,5,-1,393,672,1080,1482
data (36).jpg,1,4,5,5,-1,78,89,221,245
data (37).jpg,1,4,5,5,-1,229,168,434,404
data (38).jpg,1,4,5,5,-1,176,191,421,478
data (39).jpg,1,3,5,5,-1,95,186,324,456
data (40).jpg,1,3,4,5,-1,953,349,1492,1039
data (41).jpg,1,3,5,5,-1,224,384,638,821
data (42).jpg,1,4,5,5,-1,162,163,422,484
data (43).jpg,1,3,5,5,-1,256,536,741,1041
data (44).jpg,1,4,5,5,-1,110,189,289,383
data (45).jpg,1,4,4,5,-1,196,248,439,569
data (46).jpg,1,3,5,5,-1,209,76,625,568
data (47).jpg,1,3,5,5,-1,408,353,672,656
data (48).jpg,1,3,5,5,-1,265,324,644,792
data (49).jpg,1,3,5,1,-1,69,93,224,274
data (50).jpg,1,4,5,5,-1,76,91,173,200
data (52).jpg,1,4,5,5,-1,365,500,917,1168
data (53).jpg,1,4,5,5,-1,694,786,1500,1711
data (54).jpg,1,4,5,5,-1,994,1676,2882,3835
